,Unnamed: 0,Certificate,Runtime,Genre,Description,Directors,Stars,Rating
11,11,PG-13,118,"Action,Adventure,Comedy","
    As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",Peyton Reed," Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins",7.1
12,12,PG-13,147,"Action,Adventure,Thriller","
    Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Christopher McQuarrie," Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",7.7
13,13,PG-13,135,"Action,Adventure,Sci-Fi","
    During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.",Ron Howard," Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover",6.9
14,14,R,115,"Adventure,Drama,Horror","
    A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",Alex Garland," Natalie Portman, Jennifer Jason Leigh, Tessa Thompson, Benedict Wong",6.9
15,15,R,124,"Drama,Horror,Sci-Fi","
    Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.",Susanne Bier," Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson",6.6
16,16,PG-13,128,"Action,Adventure,Sci-Fi","
    When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",J.A. Bayona," Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith",6.2
17,17,PG,118,"Animation,Action,Adventure","
    The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.",Brad Bird," Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner",7.6
18,18,R,127,"Drama,Horror,Mystery","
    A grieving family is haunted by tragic and disturbing occurrences.",Ari Aster," Toni Collette, Milly Shapiro, Gabriel Byrne, Alex Wolff",7.3
19,19,PG-13,134,"Adventure,Family,Fantasy","
    The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",David Yates," Eddie Redmayne, Katherine Waterston, Dan Fogler, Johnny Depp",6.6
20,20,R,100,"Action,Comedy,Crime","
    A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.","John Francis Daley, Jonathan Goldstein"," Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan",6.9
21,21,R,135,"Biography,Crime,Drama","
Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",Spike Lee," John David Washington, Adam Driver, Laura Harrier, Topher Grace",7.5
22,22,PG-13,119,"Action,Adventure,Fantasy","
    Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared.",Roar Uthaug," Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu",6.3
23,23,PG-13,110,"Action,Comedy,Crime","
    Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.",Gary Ross," Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling",6.2
24,24,R,119,"Biography,Comedy,Drama","
    In early 18th century England, a frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah.",Yorgos Lanthimos," Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult",7.6
25,25,R,140,"Action,Drama,Thriller","
    Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.",Francis Lawrence," Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling",6.6
26,26,PG-13,141,"Biography,Drama,History","
    A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",Damien Chazelle," Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler",7.3
27,27,R,100,"Action,Horror,Sci-Fi","
    Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.",Leigh Whannell," Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden",7.5
28,28,PG-13,113,"Action,Horror,Sci-Fi","
    A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.",Jon Turteltaub," Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis",5.7
29,29,PG-13,107,"Action,Adventure,Sci-Fi","
    When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",Brad Peyton," Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan",6.1
30,30,R,135,Drama,"
    A year in the life of a middle-class family's maid in Mexico City in the early 1970s.",Alfonso Cuarón," Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta",7.7
31,31,PG-13,101,"Animation,Adventure,Comedy","
    Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",Wes Anderson," Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban",7.9
32,32,PG-13,120,"Comedy,Drama,Romance","
    This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",Jon M. Chu," Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan",6.9
33,33,PG-13,102,"Drama,Mystery,Thriller","
    After his 16-year-old daughter goes missing, a desperate father breaks into her laptop to look for clues to find her.",Aneesh Chaganty," John Cho, Debra Messing, Joseph Lee, Michelle La",7.6
34,34,PG-13,114,"Action,Adventure,Sci-Fi","
    On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",Travis Knight," Hailee Steinfeld, Jorge Lendeborg Jr., John Cena, Jason Drucker",6.8
35,35,PG,112,"Animation,Adventure,Comedy","
    Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.","Phil Johnston, Rich Moore"," John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson",7.1
36,36,R,141,"Crime,Drama,Mystery","
    Early 1970s. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",Drew Goddard," Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm",7.1
37,37,R,121,"Action,Crime,Thriller","
    Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",Antoine Fuqua," Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean",6.7
38,38,R,122,"Action,Adventure,Crime","
    The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.",Stefano Sollima," Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan",7.1
39,39,R,117,"Comedy,Crime,Drama","
    Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",Paul Feig," Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells",6.8
40,40,R,107,"Action,Adventure,Sci-Fi","
    When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",Shane Black," Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key",5.4
41,41,R,133,"Comedy,Drama,Musical","
    Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.","Ethan Coen, Joel Coen"," Tim Blake Nelson, Willie Watson, Clancy Brown, Danny McCarthy",7.3
42,42,R,106,"Horror,Thriller","
    Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",David Gordon Green," Jamie Lee Curtis, Judy Greer, Andi Matichak, James Jude Courtney",6.6
43,43,R,96,"Horror,Mystery,Thriller","
    A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.",Corin Hardy," Demián Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons",5.3
44,44,R,132,"Biography,Comedy,Drama","
    The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that we still feel today.",Adam McKay," Christian Bale, Amy Adams, Steve Carell, Sam Rockwell",7.2
45,45,PG-13,143,"Action,Adventure,Sci-Fi","
    Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".",Wes Ball," Dylan O'Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster",6.2
46,46,R,100,Comedy,"
    A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.",Jeff Tomsic," Jeremy Renner, Ed Helms, Jake Johnson, Jon Hamm",6.5
47,47,PG-13,111,"Action,Adventure,Sci-Fi","
    Jake Pentecost, son of Stacker Pentecost, reunites with Mako Mori to lead a new generation of Jaeger pilots, including rival Lambert and 15-year-old hacker Amara, against a new Kaiju threat.",Steven S. DeKnight," John Boyega, Scott Eastwood, Cailee Spaeny, Burn Gorman",5.6
48,48,PG-13,105,"Action,Mystery,Thriller","
    An action-thriller in which an insurance salesman/ex-cop is caught up in a life-threatening conspiracy during his daily commute home.",Jaume Collet-Serra," Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks",6.3
49,49,PG-13,102,"Action,Adventure,Thriller","
    A security expert must infiltrate a burning skyscraper, 225 stories above ground, when his family is trapped inside by criminals.",Rawson Marshall Thurber," Dwayne Johnson, Neve Campbell, Chin Han, Roland Møller",5.8
50,50,PG-13,130,"Drama,Sport","
    Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",Steven Caple Jr.," Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",7.1
51,51,R,116,"Crime,Drama,Thriller","
    A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.",Clint Eastwood," Clint Eastwood, Patrick L. Reyes, Cesar De León, Gustavo Muñoz",7.0
52,52,PG-13,128,"Action,Adventure,Fantasy","
    In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.",Christian Rivers," Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae",6.1
53,53,PG-13,110,"Comedy,Drama,Romance","
    Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.",Greg Berlanti," Nick Robinson, Jennifer Garner, Josh Duhamel, Katherine Langford",7.6
54,54,PG-13,102,"Adventure,Drama,Horror","
    Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality.",Julius Onah," Gugu Mbatha-Raw, David Oyelowo, Daniel Brühl, John Ortiz",5.5
55,55,R,140,"Action,Crime,Drama","
    An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.",Christian Gudegast," Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent",7.0
56,56,R,129,"Crime,Drama,Thriller","
    Set in contemporary Chicago, amid a time of turmoil, four women with nothing in common except a debt left behind by their dead husbands' criminal activities, take fate into their own hands, and conspire to forge a future on their own terms.",Steve McQueen," Viola Davis, Michelle Rodriguez, Elizabeth Debicki",6.9
57,57,TV-14,99,"Drama,Romance","
    A teenage girl's secret love letters are exposed and wreak havoc on her love life.",Susan Johnson," Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart",7.2
58,58,R,110,"Action,Adventure,Horror","
    A small group of American soldiers find horror behind enemy lines on the eve of D-Day.",Julius Avery," Jovan Adepo, Wyatt Russell, Mathilde Ollivier, Pilou Asbæk",6.6
59,59,PG-13,114,"Comedy,Musical,Romance","
    Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",Ol Parker," Lily James, Amanda Seyfried, Meryl Streep, Cher",6.7
60,60,PG-13,118,"Comedy,Drama","
    A couple find themselves in over their heads when they foster three children.",Sean Anders," Mark Wahlberg, Rose Byrne, Isabela Merced, Gustavo Escobar",7.3
61,61,PG,130,"Comedy,Family,Fantasy","
    A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",Rob Marshall," Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer",6.7
62,62,R,102,Comedy,"
    Three parents try to stop their daughters from losing their virginity on prom night.",Kay Cannon," Leslie Mann, John Cena, Ike Barinholtz, Kathryn Newton",6.2
63,63,PG,104,"Comedy,Drama,Family","
    A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life.",Marc Forster," Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss",7.3
64,64,R,117,"Action,Adventure,Comedy","
    Audrey and Morgan are best friends who unwittingly become entangled in an international conspiracy when one of the women discovers the boyfriend who dumped her was actually a spy.",Susanna Fogel," Justin Theroux, Blanka Györfi-Tóth, Vilma Szécsi, Mila Kunis",6.0
65,65,R,130,"Action,Drama,History","
    12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.",Nicolai Fuglsig," Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban",6.5
66,66,R,94,"Action,Thriller","
    A small team of elite American intelligence officers, part of a top-secret tactical command unit, try to smuggle a mysterious police officer with sensitive information out of Indonesia.",Peter Berg," Mark Wahlberg, Lauren Cohan, Iko Uwais, John Malkovich",6.1
67,67,R,107,"Action,Crime,Drama","
    Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.",Eli Roth," Bruce Willis, Vincent D'Onofrio, Elisabeth Shue, Camila Morrone",6.4
68,68,PG-13,116,"Action,Adventure,Fantasy","
    A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.",Otto Bathurst," Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson",5.3
69,69,PG,89,"Action,Adventure,Comedy","
    After a cyber-attack reveals the identity of all of the active undercover agents in Britain, Johnny English (Rowan Atkinson) is forced to come out of retirement to find the mastermind hacker.",David Kerr," Rowan Atkinson, Ben Miller, Olga Kurylenko, Emma Thompson",6.2
70,70,Not Rated,121,"Action,Fantasy,Horror","
    The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.","Panos Cosmatos, Casper Kelly"," Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy",6.6
71,71,R,93,"Comedy,Drama","
    An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.",Bo Burnham," Elsie Fisher, Josh Hamilton, Emily Robinson, Jake Ryan",7.4
72,72,R,121,"Action,Biography,Drama","
    A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.",David Mackenzie," Chris Pine, Stephen Dillane, Rebecca Robin, Billy Howle",6.9
73,73,R,112,"Comedy,Fantasy,Sci-Fi","
    In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a universe of greed.",Boots Riley," LaKeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick",6.9
74,74,R,152,"Fantasy,Horror,Mystery","
    A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.",Luca Guadagnino," Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela",6.8
75,75,TV-14,105,"Comedy,Romance","
    A high school student is forced to confront her secret crush at a kissing booth.",Vince Marcello," Joey King, Jacob Elordi, Joel Courtney, Megan du Plessis",6.1
76,76,PG-13,104,"Adventure,Drama,Fantasy","
    A human child raised by wolves must face off against a menacing tiger named Shere Khan, as well as his own origins.",Andy Serkis," Christian Bale, Cate Blanchett, Benedict Cumberbatch, Naomie Harris",6.5
77,77,PG,97,"Animation,Adventure,Comedy","
    Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",Genndy Tartakovsky," Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",6.3
78,78,PG-13,96,"Action,Adventure,Drama","
    In the prehistoric past, a young man struggles to return home after being separated from his tribe during a buffalo hunt. He finds a similarly lost wolf companion and starts a friendship that would change humanity.",Albert Hughes," Kodi Smit-McPhee, Jóhannes Haukur Jóhannesson, Marcin Kowalczyk, Jens Hultén",6.7
79,79,R,97,"Action,Horror,Sci-Fi","
    America's third political party, the New Founding Fathers of America, comes to power and conducts an experiment: no laws for 12 hours on Staten Island. No one has to stay on the island, but $5,000 is given to anyone who does.",Gerard McMurray," Y'lan Noel, Lex Scott Davis, Joivan Wade, Steve Harris",5.2
80,80,PG-13,103,"Horror,Mystery,Thriller","
    Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home, where the terror began.",Adam Robitel," Lin Shaye, Leigh Whannell, Angus Sampson, Kirk Acevedo",5.7
81,81,R,95,"Comedy,Drama,Mystery","
    A struggling mother of three forms an unexpected bond with the night nanny hired to help with her newborn baby.",Jason Reitman," Charlize Theron, Mackenzie Davis, Ron Livingston, Asher Miles Fallica",7.0
82,82,R,122,"Crime,Drama,Western","
    In 1850s Oregon, the infamous duo of assassins, Eli Sisters (John C. Reilly) and Charlie Sisters (Joaquin Phoenix), chase a gold prospector and his unexpected ally.",Jacques Audiard," John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal, Riz Ahmed",7.0
83,83,R,122,"Action,Adventure,Thriller","
    An untested American submarine captain teams with U.S. Navy Seals to rescue the Russian president, who has been kidnapped by a rogue general.",Donovan Marsh," Gerard Butler, Gary Oldman, Common, Linda Cardellini",6.6
84,84,R,101,"Action,Drama,Thriller","
    Five years after her husband and daughter are killed in a senseless act of violence, a woman comes back from self-imposed exile to seek revenge against those responsible and the system that let them go free.",Pierre Morel," Jennifer Garner, John Gallagher Jr., John Ortiz, Juan Pablo Raba",6.5
85,85,R,126,Drama,"
    While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki," Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad",8.4
86,86,R,123,"Action,Drama,History","
    The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.",Anthony Maras," Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher",7.6
87,87,PG-13,110,"Comedy,Romance","
    A woman struggling with insecurity wakes from a fall believing she is the most beautiful and capable woman on the planet. Her new confidence empowers her to live fearlessly, but what happens when she realizes her appearance never changed?","Abby Kohn, Marc Silverstein"," Amy Schumer, Michelle Williams, Emily Ratajkowski, Tom Hopper",5.5
88,88,R,120,"Biography,Drama","
    Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse and recovery in a family coping with addiction over many years.",Felix van Groeningen," Steve Carell, Maura Tierney, Jack Dylan Grazer, Oakley Bull",7.3
89,89,PG,85,"Animation,Comedy,Family","
    A grumpy Grinch (Benedict Cumberbatch) plots to ruin Christmas for the village of Whoville.","Yarrow Cheney, Scott Mosier"," Benedict Cumberbatch, Cameron Seely, Rashida Jones, Pharrell Williams",6.3
90,90,PG,109,Drama,"
    A father and his thirteen year-old daughter are living an ideal existence in a vast urban park in Portland, Oregon, when a small mistake derails their lives forever.",Debra Granik," Thomasin McKenzie, Ben Foster, Jeffery Rifflard, Derek John Drescher",7.2
91,91,TV-MA,95,"Action,Drama,Sci-Fi","
    A father has a recurring dream of losing his family. His nightmare turns into reality when the planet is invaded by a force bent on destruction. Fighting for their lives, he comes to realize an unknown strength to keep them safe from harm.",Ben Young," Michael Peña, Lizzy Caplan, Amelia Crouch, Erica Tremblay",5.8
92,92,R,106,"Biography,Comedy,Crime","
    When Lee Israel falls out of step with current tastes, she turns her art form to deception.",Marielle Heller," Melissa McCarthy, Richard E. Grant, Dolly Wells, Ben Falcone",7.1
93,93,TV-PG,104,"Adventure,Comedy,Family","
    The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.",Clay Kaytis," Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson",7.1
94,94,PG-13,100,"Horror,Thriller","
    A harmless game of Truth or Dare among friends turns deadly when someone - or something - begins to punish those who tell a lie or refuse the dare.",Jeff Wadlow," Lucy Hale, Tyler Posey, Violett Beane, Hayden Szeto",5.2
95,95,TV-MA,113,"Action,Adventure,Drama","
    A desperate man tries to return home to his pregnant fiancée after a mysterious apocalyptic event turns everything to chaos.",David M. Rosenthal," Theo James, Kat Graham, Nancy Sorel, Nicole Ari Parker",5.0
96,96,PG-13,96,"Action,Adventure,Biography","
    A true story of survival, as a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history.",Baltasar Kormákur," Shailene Woodley, Sam Claflin, Jeffrey Thomas, Elizabeth Hawthorne",6.6
97,97,PG,105,"Comedy,Family,Fantasy","
    A young orphan named Lewis Barnavelt aids his magical uncle in locating a clock with the power to bring about the end of the world.",Eli Roth," Jack Black, Cate Blanchett, Owen Vaccaro, Kyle MacLachlan",6.0
98,98,R,85,"Comedy,Drama","
    Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.",Jonah Hill," Sunny Suljic, Katherine Waterston, Lucas Hedges, Na-kel Smith",7.4
99,99,TV-14,97,"Comedy,Fantasy,Romance","
    Noah meets Avery at a Halloween party and falls in love but gets friend-zoned. 3 years later she's engaged to someone else. Noah uses the photo booth time machine several times to return and fix things. Will it work or...?",Ari Sandel," Adam Devine, Alexandra Daddario, Shelley Hennig, Andrew Bachelor",6.4
100,100,R,94,"Action,Crime,Drama","
    Set in riot-torn, near-future Los Angeles, 'Hotel Artemis' follows the Nurse, who runs a secret, members-only emergency room for criminals.",Drew Pearce," Jodie Foster, Sofia Boutella, Dave Bautista, Sterling K. Brown",6.1
101,101,TV-14,105,"Comedy,Romance","
    Two corporate executive assistants hatch a plan to match-make their two bosses.",Claire Scanlon," Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs",6.5
102,102,R,115,"Action,Crime,Drama","
    Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.",Fede Alvarez," Claire Foy, Beau Gadsdon, Sverrir Gudnason, LaKeith Stanfield",6.1
103,103,R,98,"Drama,Horror,Mystery","
    A young woman is involuntarily committed to a mental institution, where she is confronted by her greatest fear--but is it real or a product of her delusion?",Steven Soderbergh," Claire Foy, Joshua Leonard, Jay Pharoah, Juno Temple",6.4
104,104,PG-13,93,"Biography,Comedy,Crime","
    Based on the true story of Forrest Tucker and his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public.",David Lowery," Robert Redford, Casey Affleck, Sissy Spacek, Danny Glover",6.7
105,105,R,119,"Drama,Romance","
    A young woman embraces her pregnancy while she and her family set out to prove her childhood friend and lover innocent of a crime he didn't commit.",Barry Jenkins," KiKi Layne, Stephan James, Regina King, Teyonah Parris",7.1
106,106,R,124,"Biography,Drama,History","
    Mary Stuart's (Saoirse Ronan's) attempt to overthrow her cousin Elizabeth I (Margot Robbie), Queen of England, finds her condemned to years of imprisonment before facing execution.",Josie Rourke," Saoirse Ronan, Margot Robbie, Jack Lowden, Joe Alwyn",6.3
107,107,TV-MA,100,"Crime,Drama,Mystery","
    In a world without anonymity or crime, a detective meets a woman who threatens their security.",Andrew Niccol," Clive Owen, Afiya Bennett, Morgan Allen, Jeffrey Men",6.1
