Certificate,Runtime,Genre,Description,Directors,Stars,Rating
PG-13,121.0,"Drama,Romance","
    A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.",Lasse Hallström," Juliette Binoche, Judi Dench, Alfred Molina, Carrie-Anne Moss",7.2
G,78.0,"Animation,Adventure,Comedy","
    Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",Mark Dindal," David Spade, John Goodman, Eartha Kitt, Patrick Warburton",7.3
PG-13,98.0,"Action,Adventure,Comedy","
    Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",McG," Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray",5.5
G,84.0,"Animation,Adventure,Comedy","
    When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.","Peter Lord, Nick Park"," Mel Gibson, Julia Sawalha, Phil Daniels, Lynn Ferguson",7.0
R,131.0,"Biography,Drama","
    An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.",Steven Soderbergh," Julia Roberts, Albert Finney, David Brisbin, Dawn Didawick",7.3
R,113.0,"Comedy,Drama,Music","
    Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",Stephen Frears," John Cusack, Iben Hjejle, Todd Louiso, Jack Black",7.5
R,93.0,Comedy,"
    Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.",Todd Phillips," Breckin Meyer, Seann William Scott, Amy Smart, Paulo Costanzo",6.4
PG-13,130.0,"Action,Adventure,Drama","
    An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.",Wolfgang Petersen," George Clooney, Mark Wahlberg, John C. Reilly, Diane Lane",6.4
PG-13,83.0,"Comedy,Mystery,Sci-Fi","
    Two potheads wake up after a night of partying and cannot remember where they parked their car.",Danny Leiner," Ashton Kutcher, Seann William Scott, Jennifer Garner, Marla Sokoloff",5.5
R,112.0,"Action,Horror,Sci-Fi","
    When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences.",Paul Verhoeven," Kevin Bacon, Elisabeth Shue, Josh Brolin, Kim Dickens",5.8
R,116.0,"Horror,Mystery","
    While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",Wes Craven," David Arquette, Neve Campbell, Courteney Cox, Liev Schreiber",5.6
PG-13,110.0,"Action,Adventure,Comedy","
    A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss.",Tom Dey," Jackie Chan, Owen Wilson, Lucy Liu, Brandon Merrill",6.6
PG-13,130.0,"Drama,Fantasy,Horror","
    The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.",Robert Zemeckis," Harrison Ford, Michelle Pfeiffer, Katharine Towne, Miranda Otto",6.6
PG-13,123.0,"Action,Mystery,Sci-Fi","
    Futuristic action film about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.",Roger Spottiswoode," Arnold Schwarzenegger, Michael Rapaport, Tony Goldwyn, Michael Rooker",5.9
PG-13,123.0,Drama,"
    A young boy attempts to make the world a better place after his teacher gives him that chance.",Mimi Leder," Kevin Spacey, Haley Joel Osment, Helen Hunt, Jay Mohr",7.2
R,98.0,"Comedy,Crime","
    A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.",Jonathan Lynn," Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan",6.7
R,129.0,"Biography,Drama","
    The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him.",George Tillman Jr.," Cuba Gooding Jr., Robert De Niro, Charlize Theron, Aunjanue Ellis",7.2
PG-13,100.0,"Comedy,Drama,Music","
    Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",David McNally," Piper Perabo, Adam Garcia, John Goodman, Maria Bello",5.7
PG-13,125.0,"Comedy,Drama,Fantasy","
    A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.",Brett Ratner," Nicolas Cage, Téa Leoni, Don Cheadle, Jeremy Piven",6.8
R,140.0,"Crime,Drama,Musical","
    An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",Lars von Trier," Björk, Catherine Deneuve, David Morse, Peter Stormare",8.0
PG-13,118.0,"Crime,Drama,Mystery","
    An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",Gregory Hoblit," Dennis Quaid, Jim Caviezel, Shawn Doyle, Elizabeth Mitchell",7.3
PG-13,90.0,"Comedy,Fantasy","
    After two of the devil's three sons escape Hell to wreak havoc on Earth, the devil must send his third son, the mild-mannered Nicky, to bring them back before it's too late.",Steven Brill," Adam Sandler, Patricia Arquette, Harvey Keitel, Rhys Ifans",5.3
PG-13,93.0,"Comedy,Fantasy","
    Hopeless dweeb Elliot Richards is granted seven wishes by the Devil to snare Allison, the girl of his dreams, in exchange for his soul.",Harold Ramis," Brendan Fraser, Elizabeth Hurley, Frances O'Connor, Miriam Shor",6.0
R,107.0,"Horror,Sci-Fi,Thriller","
    An F.B.I. Agent persuades a social worker, who is adept with a new experimental technology, to enter the mind of a comatose serial killer in order to learn where he has hidden his latest kidnap victim.",Tarsem Singh," Jennifer Lopez, Vince Vaughn, Vincent D'Onofrio, Colton James",6.3
R,108.0,"Comedy,Drama,Romance","
    Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town.",Giuseppe Tornatore," Monica Bellucci, Giuseppe Sulfaro, Luciano Federico, Matilde Piana",7.5
PG-13,98.0,"Comedy,Romance,Sport","
    A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.",Peyton Reed," Kirsten Dunst, Eliza Dushku, Jesse Bradford, Gabrielle Union",6.0
PG-13,136.0,Drama,"
    A young writing prodigy finds a mentor in a reclusive author.",Gus Van Sant," Sean Connery, Rob Brown, F. Murray Abraham, Anna Paquin",7.3
PG,89.0,"Animation,Adventure,Comedy","
    Two swindlers get their hands on a map to the fabled city of gold, El Dorado.","Bibo Bergeron, Don Paul, Jeffrey Katzenberg"," Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante",6.9
PG-13,99.0,"Action,Comedy,Crime","
    In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother.",Raja Gosnell," Martin Lawrence, Nia Long, Paul Giamatti, Jascha Washington",5.2
PG-13,116.0,"Action,War","
    A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.",Jonathan Mostow," Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi",6.6
R,99.0,"Action,Crime,Thriller","
    New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.",John Singleton," Samuel L. Jackson, Vanessa Williams, Christian Bale, Jeffrey Wright",5.9
PG-13,130.0,"Action,Adventure,Thriller","
    When retired engineer Frank Corvin (Clint Eastwood) is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",Clint Eastwood," Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner",6.4
PG,114.0,"Adventure,Sci-Fi,Thriller","
    When the first manned mission to Mars meets with a catastrophic and mysterious disaster after reporting an unidentified structure, a rescue mission is launched to investigate the tragedy and bring back any survivors.",Brian De Palma," Tim Robbins, Gary Sinise, Don Cheadle, Connie Nielsen",5.7
R,115.0,"Action,Crime,Thriller","
    An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.",Andrzej Bartkowiak," Jet Li, Aaliyah, Isaiah Washington, Russell Wong",6.1
R,111.0,"Drama,Fantasy,Horror","
    A woman with extrasensory perception is asked to help find a young woman who has disappeared.",Sam Raimi," Cate Blanchett, Katie Holmes, Keanu Reeves, Giovanni Ribisi",6.6
R,107.0,"Comedy,Drama","
    An English Professor tries to deal with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and the various problems that his friends and associates involve him in.",Curtis Hanson," Michael Douglas, Tobey Maguire, Frances McDormand, Robert Downey Jr.",7.3
PG,94.0,"Animation,Action,Adventure","
    A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.","Don Bluth, Gary Goldman"," Matt Damon, Drew Barrymore, Bill Pullman, Jim Breuer",6.6
PG-13,124.0,"Action,Adventure,Drama","
    A climber must rescue his sister on top of K2, one of the world's biggest mountains.",Martin Campbell," Scott Glenn, Chris O'Donnell, Bill Paxton, Robin Tunney",5.9
PG-13,118.0,"Comedy,Sport","
    During a pro football strike, the owners hire substitute players.",Howard Deutch," Keanu Reeves, Gene Hackman, Brooke Langton, Orlando Jones",6.6
PG-13,106.0,"Action,Sci-Fi,Thriller","
    Astronauts, and their robotic dog AMEE (Autonomous Mapping Evaluation and Evasion), search for solutions to save a dying Earth by searching on Mars, only to have the mission go terribly awry.",Antony Hoffman," Val Kilmer, Carrie-Anne Moss, Tom Sizemore, Benjamin Bratt",5.7
R,135.0,"Action,Drama,Thriller","
    Alice hires a professional negotiator to obtain the release of her engineer husband, who has been kidnapped by anti-government guerrillas in South America.",Taylor Hackford," Meg Ryan, Russell Crowe, David Morse, Pamela Reed",6.2
PG-13,90.0,Comedy,"
    A colorful array of characters compete at a national dog show.",Christopher Guest," Fred Willard, Eugene Levy, Catherine O'Hara, Jennifer Coolidge",7.4
PG-13,145.0,"Drama,History,Thriller","
    In October 1962, the Kennedy administration struggles to contain the Cuban Missile Crisis.",Roger Donaldson," Kevin Costner, Bruce Greenwood, Shawn Driscoll, Drake Cook",7.3
PG-13,126.0,"Drama,Fantasy,Sport","
    A down-and-out golfer attempts to recover his game and his life with help from a mystical caddy.",Robert Redford," Will Smith, Matt Damon, Charlize Theron, Bruce McGill",6.7
PG,82.0,"Animation,Adventure,Family","
    An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.","Eric Leighton, Ralph Zondag"," D.B. Sweeney, Julianna Margulies, Samuel E. Wright, Alfre Woodard",6.5
R,124.0,"Biography,Drama","
    In a Napoleonic era insane asylum, an inmate, the irrepressible Marquis De Sade, fights a battle of wills against a tyrannically prudish doctor.",Philip Kaufman," Geoffrey Rush, Kate Winslet, Joaquin Phoenix, Michael Caine",7.3
PG-13,128.0,"Comedy,Drama,Romance","
    Two friends, a priest and a rabbi, fall in love with the same woman they knew in their youth, but the religious position of both men denies them romance.",Edward Norton," Ben Stiller, Edward Norton, Jenna Elfman, Anne Bancroft",6.3
R,120.0,"Crime,Drama,Thriller","
    A college dropout, attempting to live up to his father's high standards, gets a job as a broker for a suburban investment firm which puts him on the fast track to success. But the job might not be as legitimate as it first appeared to be.",Ben Younger," Giovanni Ribisi, Vin Diesel, Nia Long, Nicky Katt",7.0
R,128.0,"Drama,Thriller,War","
    An attorney defends an officer on trial for ordering his troops to fire on civilians after they stormed a U.S. embassy in a Middle Eastern country.",William Friedkin," Tommy Lee Jones, Samuel L. Jackson, Guy Pearce, Ben Kingsley",6.4
PG-13,103.0,"Comedy,Drama","
    A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.",Betty Thomas," Sandra Bullock, Viggo Mortensen, Dominic West, Elizabeth Perkins",6.0
PG,104.0,"Comedy,Family,Fantasy","
    An unhappy and disliked image consultant gets a second shot at life when he is mysteriously confronted by an eight-year-old version of himself.",Jon Turteltaub," Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin",6.1
R,92.0,"Drama,Horror","
    The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.",E. Elias Merhige," John Malkovich, Willem Dafoe, Udo Kier, Cary Elwes",6.9
R,101.0,"Drama,War","
    A group of recruits go through Advanced Infantry Training at Fort Polk, Louisiana's infamous Tigerland, last stop before Vietnam for tens of thousands of young men in 1971.",Joel Schumacher," Colin Farrell, Matthew Davis, Clifton Collins Jr., Tom Guiry",7.0
R,104.0,"Action,Adventure,Crime","
    After assuming his dead cell-mate's identity to get with the other man's girlfriend, an ex-convict finds himself a reluctant participant in a casino heist.",John Frankenheimer," Ben Affleck, Gary Sinise, Charlize Theron, James Frain",5.8
PG,94.0,"Comedy,Crime","
    A loser of a crook and his wife strike it rich when a botched bank job's cover business becomes a spectacular success.",Woody Allen," Woody Allen, Tracey Ullman, Hugh Grant, Carolyn Saxon",6.7
R,98.0,Comedy,"
    Uncle Elroy and Day Day owe money on taxes so Craig finds a way to steal from the next door neighbors to pay off the taxes so Uncle Elroy's house doesn't get put up for auction.",Steve Carr," Ice Cube, Mike Epps, Justin Pierce, John Witherspoon",6.2
R,110.0,"Comedy,Crime,Drama","
    Comedy about a widow's post-traumatic obsession with a soap star.",Neil LaBute," Renée Zellweger, Morgan Freeman, Chris Rock, Greg Kinnear",6.1
R,102.0,"Action,Crime,Drama","
    A Las Vegas mob enforcer travels back to his hometown to investigate his brother's mysterious death.",Stephen Kay," Sylvester Stallone, Rachael Leigh Cook, Miranda Richardson, Rhona Mitra",5.2
PG-13,120.0,"Comedy,Drama,Romance","
    A pregnant seventeen-year-old rebuilds her life after being abandoned by her boyfriend at a Walmart in Sequoyah, Oklahoma.",Matt Williams," Natalie Portman, James Frain, Ashley Judd, Stockard Channing",6.8
R,119.0,"Action,Crime,Drama","
    Two criminal drifters without sympathy get more than they bargained for after kidnapping and holding for ransom the surrogate mother of a powerful and shady man.",Christopher McQuarrie," Ryan Phillippe, Benicio Del Toro, Juliette Lewis, Taye Diggs",6.7
PG-13,106.0,"Action,Crime,Drama","
    A senior at an ivy league college, who depends on scholarships and working on the side, gets accepted into the secret society The Skulls. He hopes it betters chances at Harvard but The Skulls is not what he thought and comes at a price.",Rob Cohen," Joshua Jackson, Paul Walker, Hill Harper, Leslie Bibb",5.6
R,103.0,"Animation,Action,Fantasy","
    When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.",Yoshiaki Kawajiri," Andrew Philpot, John Rafter Lee, Pamela Adlon, Wendee Lee",7.7
R,117.0,"Action,Adventure,Crime","
    UN's secretary general uses covert operations to help diplomacy along. Shaw's called back 6 months after one such operation. He witnesses the murder of Chinese UN ambassador at UN, NYC, chases the assassin and ends up a suspect.",Christian Duguay," Wesley Snipes, Anne Archer, Maury Chaykin, Marie Matiko",5.7
R,111.0,Drama,"
    A single mother's life is thrown into turmoil after her struggling, rarely seen younger brother returns to town.",Kenneth Lonergan," Laura Linney, Matthew Broderick, Amy Ryan, Michael Countryman",7.5
R,122.0,"Biography,Drama","
    A film about the life and career of the American painter, Jackson Pollock.",Ed Harris," Ed Harris, Marcia Gay Harden, Robert Knott, Molly Regan",7.0
PG-13,98.0,"Comedy,Romance","
    A college student, branded a loser by his roommates and booted from the dorm, falls in love with a coed who has eyes for their condescending professor.",Amy Heckerling," Jason Biggs, Mena Suvari, Zak Orth, Thomas Sadoski",5.3
R,97.0,"Crime,Drama,Mystery","
    David is a serial killer of young women. Joel was in charge of catching him in LA. He moved to Chicago a broken man. So did David and sends him photos of his next victims 24 hours before the murders.",Joe Charbanic," James Spader, Keanu Reeves, Marisa Tomei, Ernie Hudson",5.3
PG-13,103.0,"Drama,Romance","
    Romantic drama about an aging playboy who falls for a sweet, but terminally ill, young woman.",Joan Chen," Richard Gere, Winona Ryder, Anthony LaPaglia, Elaine Stritch",5.7
R,133.0,"Biography,Drama,Romance","
    The life of Cuban poet and novelist, Reinaldo Arenas.",Julian Schnabel," Javier Bardem, Johnny Depp, Olatz López Garmendia, Giovani Florido",7.2
R,126.0,"Drama,Thriller","
    Senator Laine Hanson is a contender for U.S. Vice President, but information and disinformation about her past surfaces that threatens to derail her confirmation.",Rod Lurie," Joan Allen, Gary Oldman, Jeff Bridges, Christian Slater",6.9
R,110.0,"Crime,Drama,Thriller","
    A wealthy attorney in San Juan comes to the police station for ""10 min."" of follow up questions to finding a 12-year old girl's body in a park. Another young girl was also raped and murdered weeks earlier and the evidence points to him.",Stephen Hopkins," Morgan Freeman, Gene Hackman, Thomas Jane, Monica Bellucci",6.5
R,114.0,"Crime,Drama,Thriller","
    A Japanese gangster is exiled to Los Angeles where his brother lives with a small but respectable multi-racial gang, who he inspires to expand their influence.",Takeshi Kitano," Takeshi Kitano, Claude Maki, Omar Epps, Masaya Katô",7.2
R,122.0,"Drama,Mystery,Thriller","
    Tragi-comic, romantic whodunnit set in a run down hotel which plays host to mentally ill people too poor to afford medical insurance.",Wim Wenders," Jeremy Davies, Milla Jovovich, Mel Gibson, Jimmy Smits",5.9
R,94.0,"Comedy,Romance","
    Matt spends the night with a girl in an elevator during power outage in a girls' college dorm. He never sees her. Waking up in the morning, panties are all that's left of her. How does he find her in a building with 100 girls?",Michael Davis," Jonathan Tucker, Emmanuelle Chriqui, James DeBello, Katherine Heigl",5.8
R,105.0,"Comedy,Drama","
    A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.",David Mamet," Philip Seymour Hoffman, William H. Macy, Rebecca Pidgeon, Michael Higgins",6.7
PG-13,106.0,"Drama,Romance","
    A man switches plane tickets with another man who dies in that plane in a crash. The man falls in love with the deceased one's wife.",Don Roos," Ben Affleck, Gwyneth Paltrow, Natasha Henstridge, Edward Edwards",5.7
R,115.0,"Crime,Drama,Romance","
    Leo is released from prison after serving time for car theft. His plan to go straight falls apart when he meets his corrupt uncle for a job and later an old friend working there. It culminates at the (railroad) yards.",James Gray," Mark Wahlberg, Joaquin Phoenix, Charlize Theron, James Caan",6.4
PG,115.0,"Comedy,Drama,Romance","
    A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.",Bonnie Hunt," David Duchovny, Minnie Driver, Carroll O'Connor, Robert Loggia",6.9
PG,95.0,"Comedy,Drama,Family","
    A shy boy grows up in 1940s Mississippi with the help of his beloved dog, Skip.",Jay Russell," Frankie Muniz, Kevin Bacon, Diane Lane, Luke Wilson",7.0
PG-13,115.0,"Drama,Music,Romance","
    A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.",Nicholas Hytner," Amanda Schull, Ethan Stiefel, Sascha Radetsky, Christine Dunham",6.7
PG-13,124.0,"Drama,Romance,Sport","
    Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.",Gina Prince-Bythewood," Sanaa Lathan, Omar Epps, Glenndon Chatman, Jess Willard",7.2
G,77.0,"Animation,Comedy,Drama","
    Tigger goes looking through the hundred-acre-wood to find his family.",Jun Falkenstein," Jim Cummings, Nikita Hopkins, Ken Sansom, John Fiedler",6.3
PG-13,94.0,"Comedy,Drama,Romance","
    A friendship is put to the ultimate test when two best friends wind up in bed together.",Robert Iscove," Freddie Prinze Jr., Claire Forlani, Brendon Ryan Barrett, Gay Thomas Wilson",5.4
R,90.0,"Drama,Mystery,Thriller","
    Three college students base their class project around gossip and how fast it spreads, which soon spirals out of control.",Davis Guggenheim," James Marsden, Lena Headey, Norman Reedus, Kate Hudson",5.9
PG-13,91.0,"Comedy,Drama,Romance","
    A young man wins and loses the first serious love of his life. Al Connelly falls in love with the girl of his dreams. After the summer she breaks up with him. As he tries to recover Al goes to desperate measures.",Kris Isacsson," Freddie Prinze Jr., Julia Stiles, Selma Blair, Shawn Hatosy",5.0
R,107.0,"Crime,Drama,Horror","
    Cody, a little girl abandoned by her mother and raised by her aunt, a nurse, is kidnapped. The girl's guardian, aided by an F.B.I. agent, learn that Cody has supernatural abilities, and the abductees are a Satanic cult willing to do anything to gain them.",Chuck Russell," Kim Basinger, Jimmy Smits, Rufus Sewell, Holliston Coleman",5.1
PG-13,107.0,"Comedy,Sport","
    Two slacker wrestling fans are devastated by the ousting of their favorite character by an unscrupulous promoter.",Brian Robbins," David Arquette, Oliver Platt, Scott Caan, Bill Goldberg",5.4
R,87.0,"Comedy,Crime,Thriller","
    An insane independent film director and his renegade group of teenage filmmakers kidnap an A-list Hollywood actress and force her to star in their underground film.",John Waters," Melanie Griffith, Stephen Dorff, Alicia Witt, Adrian Grenier",6.3
R,93.0,"Comedy,Crime","
    Brilliant, flamboyant master criminal Michael Lynch is more interested in his image and his posterity than the actual profit from his ill-gotten gains.",Thaddeus O'Sullivan," Kevin Spacey, Linda Fiorentino, Peter Mullan, Stephen Dillane",6.4
PG-13,96.0,"Comedy,Crime,Mystery","
    When a woman drives a car into the river to her death, everyone in town becomes a suspect.",Nick Gomez," Danny DeVito, Bette Midler, Neve Campbell, Jamie Lee Curtis",5.7
PG-13,116.0,"Drama,Romance,Western","
    Two Texas cowboys head to Mexico in search of work, but soon find themselves in trouble with the law after one of them falls in love with a wealthy rancher's daughter.",Billy Bob Thornton," Matt Damon, Penélope Cruz, Henry Thomas, Angelina Torres",5.8
R,94.0,"Crime,Drama","
    A young man goes to prison and a tough, older convict takes him under his wing as a mentor.",Steve Buscemi," Willem Dafoe, Edward Furlong, Danny Trejo, Mark Boone Junior",6.6
R,84.0,Comedy,"
    The Saturday Night Live character gets a big screen treatment.",Reginald Hudlin," Tim Meadows, Karyn Parsons, Billy Dee Williams, John Witherspoon",5.2
R,92.0,"Horror,Mystery,Thriller","
    In the small town of Cherry Falls, a psychotic murderer is killing off the virgins of the local high school.",Geoffrey Wright," Brittany Murphy, Jay Mohr, Michael Biehn, Jesse Bradford",5.2
